,0
0,Andhra Pradesh
1,Arunachal Pradesh
2,Assam
3,Bihar
4,Chhattisgarh
5,Goa
6,Gujarat
7,Haryana
8,Himachal Pradesh
9,Jharkhand
10,Karnataka
11,Kerala
12,Madhya Pradesh
13,Maharashtra
14,Manipur
15,Meghalaya
16,Mizoram
17,Nagaland
18,Odisha
19,Punjab
20,Rajasthan
21,Sikkim
22,Tamil Nadu
23,Telangana
24,Tripura
25,Uttar Pradesh
26,Uttarakhand
27,West Bengal
